PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",52,1756307736825,1756307736913,t,84, monthly, physical-keyboard,28,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",53,1756307737175,1756307737278, ,32, monthly, physical-keyboard,29,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",54,1756307738550,1756307738657,l,76, monthly, physical-keyboard,30,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",55,1756307738799,1756307738966,a,65, monthly, physical-keyboard,31,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",56,1756307739601,1756307739777,d,68, monthly, physical-keyboard,32,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",57,1756307739936,1756307739992,y,89, monthly, physical-keyboard,33,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",58,1756307740282,1756307740361, ,32, monthly, physical-keyboard,34,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",59,1756307740789,1756307740908,i,73, monthly, physical-keyboard,35,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",60,1756307741118,1756307741197,n,78, monthly, physical-keyboard,36,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",61,1756307741332,1756307741450, ,32, monthly, physical-keyboard,37,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",62,1756307743624,1756307743799,a,65, monthly, physical-keyboard,38,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",63,1756307745083,1756307745213, ,32, monthly, physical-keyboard,39,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",64,1756307745590,1756307745738,s,83, monthly, physical-keyboard,40,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",65,1756307745925,1756307746008,u,85, monthly, physical-keyboard,41,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",66,1756307746257,1756307746320,o,79, monthly, physical-keyboard,42,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",67,1756307746261,1756307746303,p,80, monthly, physical-keyboard,42,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",68,1756307747454,1756307747509,Backspace,8, monthly, physical-keyboard,42,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",69,1756307748628,1756307748760,Backspace,8, monthly, physical-keyboard,42,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",70,1756307749390,1756307749485,p,80, monthly, physical-keyboard,42,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",71,1756307749752,1756307749863,e,69, monthly, physical-keyboard,43,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",72,1756307750001,1756307750140,r,82, monthly, physical-keyboard,44,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",73,1756307750278,1756307750381,m,77, monthly, physical-keyboard,45,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",74,1756307750504,1756307750627,a,65, monthly, physical-keyboard,46,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",75,1756307750905,1756307751048,r,82, monthly, physical-keyboard,47,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",76,1756307751646,1756307751767,k,75, monthly, physical-keyboard,48,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",77,1756307752151,1756307752251, ,32, monthly, physical-keyboard,49,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",78,1756307753151,1756307753273,Backspace,8, monthly, physical-keyboard,49,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",79,1756307754051,1756307754202,e,69, monthly, physical-keyboard,49,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",80,1756307754359,1756307754445,t,84, monthly, physical-keyboard,50,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",81,1756307754658,1756307754753, ,32, monthly, physical-keyboard,51,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",82,1756307754905,1756307755056,s,83, monthly, physical-keyboard,52,0,1
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",83,1756307755184,1756307755239,h,72, monthly, physical-keyboard,53,0,1
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",84,1756307755549,1756307755628,o,79, monthly, physical-keyboard,54,0,1
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",85,1756307756714,1756307756788,p,80, monthly, physical-keyboard,55,0,1
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",86,1756307756901,1756307756968,p,80, monthly, physical-keyboard,56,0,1
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",87,1756307757140,1756307757212,i,73, monthly, physical-keyboard,57,0,1
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",88,1756307757451,1756307757510,n,78, monthly, physical-keyboard,58,0,1
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",89,1756307757719,1756307757807,g,71, monthly, physical-keyboard,59,0,1
