PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",31,1756310809979,1756310810058,e,69, rarely, physical-keyboard,23,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",32,1756310810114,1756310810193,r,82, rarely, physical-keyboard,24,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",33,1756310812017,1756310812141, ,32, rarely, physical-keyboard,25,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",34,1756310812995,1756310813118,i,73, rarely, physical-keyboard,26,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",35,1756310813096,1756310813174,n,78, rarely, physical-keyboard,27,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",36,1756310813242,1756310813332, ,32, rarely, physical-keyboard,28,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",37,1756310814380,1756310814492,a,65, rarely, physical-keyboard,29,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",38,1756310814896,1756310814986,Backspace,8, rarely, physical-keyboard,29,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",39,1756310815133,1756310815211,t,84, rarely, physical-keyboard,29,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",40,1756310815414,1756310815504,Backspace,8, rarely, physical-keyboard,29,1,0
