PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",25,1756240277540,1756240277648,i,73, rarely, physical-keyboard,25
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",26,1756240277660,1756240277797,v,86, rarely, physical-keyboard,26
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",27,1756240277764,1756240277848,i,73, rarely, physical-keyboard,27
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",28,1756240278196,1756240278272,d,68, rarely, physical-keyboard,28
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",29,1756240278291,1756240278451,l,76, rarely, physical-keyboard,29
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",30,1756240278431,1756240278512,y,89, rarely, physical-keyboard,31
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",31,1756240278511,1756240278637, ,32, rarely, physical-keyboard,-1
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",32,1756240279996,1756240280071,Backspace,8, rarely, physical-keyboard,31
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",33,1756240280202,1756240280299,",",188, rarely, physical-keyboard,31
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",34,1756240280270,1756240280364, ,32, rarely, physical-keyboard,-1
