PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",40,1755621273603,1755621273680,r,82, weekly, physical-keyboard,28
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",41,1755621273774,1755621273855,e,69, weekly, physical-keyboard,29
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",42,1755621273947,1755621274055,e,69, weekly, physical-keyboard,30
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",43,1755621274360,1755621274492,s,83, weekly, physical-keyboard,31
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",44,1755621274525,1755621274680, ,32, weekly, physical-keyboard,32
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",45,1755621274817,1755621274954,a,65, weekly, physical-keyboard,33
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",46,1755621275232,1755621275336,n,78, weekly, physical-keyboard,34
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",47,1755621275382,1755621275504,d,68, weekly, physical-keyboard,35
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",48,1755621275524,1755621275700, ,32, weekly, physical-keyboard,36
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",49,1755621276663,1755621276766,g,71, weekly, physical-keyboard,37
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",50,1755621277102,1755621277185,l,76, weekly, physical-keyboard,38
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",51,1755621277242,1755621277367,a,65, weekly, physical-keyboard,38
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",52,1755621277962,1755621278046,s,83, weekly, physical-keyboard,38
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",53,1755621278359,1755621278461,Backspace,8, weekly, physical-keyboard,38
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",54,1755621278572,1755621278655,Backspace,8, weekly, physical-keyboard,38
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",55,1755621278769,1755621278846,Backspace,8, weekly, physical-keyboard,38
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",56,1755621279256,1755621279335,r,82, weekly, physical-keyboard,38
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",57,1755621279365,1755621279488,a,65, weekly, physical-keyboard,39
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",58,1755621279623,1755621279697,s,83, weekly, physical-keyboard,40
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",59,1755621279797,1755621279902,s,83, weekly, physical-keyboard,41
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",60,1755621280178,1755621280282,y,89, weekly, physical-keyboard,42
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",61,1755621280366,1755621280481, ,32, weekly, physical-keyboard,43
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",62,1755621281420,1755621281532,s,83, weekly, physical-keyboard,44
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",63,1755621281687,1755621281796,h,72, weekly, physical-keyboard,45
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",64,1755621281870,1755621281989,o,79, weekly, physical-keyboard,46
