PARTICIPANT_ID,mean_dwell_bigram,mean_flight_bigram,mean_dwell_trigram,mean_flight_trigram
65a3ec77f674ac3e98f0c6ac,-23035632122.44647,23035632517.64366,-29385263901.916576,29385264271.92332
65a3f4da297bacfcc92dead2,-35779294632.3471,35779295004.820335,-44724071316.72614,44724071665.62303
65c7b42c1c15b1064e26f265,148.40641741071428,-19.01637967687075,140.47527657527658,-30.548430735930737
65cf6d8a589a67afcab54e6f,-21649490021.51565,21649490356.477787,-23680019964.414177,23680020308.252514
65eafe348dd7dad3b69be921,-38040946586.605484,38040947266.202576,-42140039148.82549,42140039773.73496
65f03cac071873738667ccbb,-102230376228.65413,102230376661.83606,-114859768435.91345,114859768831.01949
65f1ee12589aa15061efa22a,-10950233877.522705,10950234401.063831,-12203443787.681967,12203444316.577385
65f333c755d191fcd18fa279,-3624800719.5166287,3624801092.8463907,-3935742934.7265983,3935743272.30991
65fb34c4df61f03ce0dd6dd9,86.78700573124912,258.86621747008166,87.85797044596607,245.0132960915288
65fc95c627592d85499ae358,87.78367863844863,247.41070124055022,87.79365210191509,244.94792875564522
65fda4aa45ba55e983e2a2d9,-21281597336.212894,21281597881.45746,-22635714805.528366,22635715366.541035
6614435124bf16e7a24f9662,-58167323517.9728,58167324731.61059,-68034184498.341225,68034185692.61341
661564c766603e80ca4c3184,-32279314335.202744,32279314670.357628,-45630812724.21657,45630813048.56926
663068f52490bf6d13f95968,-19730108951.192997,19730109178.207363,-22416717311.720467,22416717532.31276
66321cfc446914f3b199e193,-8612416401.763597,8612417010.053862,-7385124849.515319,7385125432.512332
663378460f834e9670d1508c,-22402281477.974384,22402281954.562794,-20293573481.63043,20293573910.754765
6635344fb4ae723326e3ce04,105.72023564903172,653.8715314417381,105.23552785381288,620.5244593615166
6643495b44af166c626762cd,-4407606119.916406,4407606530.508135,-5537583669.986365,5537584052.231581
664b44d8a11f1bcbba9e0494,88.23122641284012,221.73076526168023,86.87822545580822,219.23413792455474
664c8dd7baa052f7b1e88417,-13329897187.399643,13329897712.597622,-17345358357.496666,17345358872.78596
664e413a5f3eb7f99d90e15b,-1501340984.2668176,1501341648.6730466,-1621587639.4757104,1621588281.925612
664fa86722f5339adebd32ec,-45672761708.89978,45672762592.8784,-49289419591.70552,49289420422.10805
666f76b68b89442817be678a,-59695549853.90566,59695550677.233635,-73025240739.56708,73025241521.39493
6672bf56d51710391ce2164d,-22590903012.650913,22590903274.358097,-20014820723.219307,20014820981.636585
6672fea3fe6378e257b6ef25,-52010815563.280914,52010816123.0901,-57132945865.825836,57132946323.75682
6679a3b7cb020a6e4728eac5,-32529014833.423283,32529015134.612255,-35532227142.46895,35532227426.31
66986ab71f2b54203f26ad32,-26425824453.780155,26425825252.535225,-31719008610.752777,31719009465.36816
66b4f89242c0ff3aab8f8774,-27321270887.482803,27321271184.867073,-37103198811.10955,37103199095.72968
66bb6b7e0ccbed81f3ed30a8,-12218132395.980486,12218132783.82264,-12402240681.594805,12402241052.42666
6702f60844f21087e0840e3d,-11667043895.680666,11667044253.841335,-17150660273.107136,17150660615.235434
6725030a6ee43d8130ceefc5,-22569258482.02714,22569258979.254723,-20634118883.447296,20634119334.16555
6725c4a8e3ab0787551acf38,-24580503834.616,24580504648.397728,-20754582246.506252,20754582981.75494
67356f7cf6ff16fe3322a837,-13001327762.997038,13001328260.191832,-17530900553.34771,17530901049.02991
673d0377254c407e5da57f97,-15042306731.778023,15042307053.940592,-19342831109.576115,19342831421.692562
673f7365f63a4a3036aae1f2,129.13867839573967,401.4597582288933,129.98118646834334,415.87505692144
67430c9cce2366e644146584,-37066669968.441765,37066670223.130104,-40352080347.57,40352080600.48885
67450bce7a49cb1c784dcc2b,-31107317128.47495,31107317575.211884,-33635345333.009415,33635345740.875072
676797a573d3cbf6add72f02,-10194220112.215794,10194220571.135073,-15583232382.144821,15583232828.517462
67709b0a96dcc9c2a7b0a06e,-7095552632.9831505,7095553202.741604,-6884199586.026211,6884200182.856422
67acbb030811018b016dcaf7,129.88862458360506,108.48488901145151,128.41697635332366,104.03321842297856
67bb91a04f5f96b7ac52242d,77.04618328746534,416.91587879122307,76.66201582823973,376.27879377581706
67d01f812bf82a710cd2193f,-16359804519.469988,16359805159.615072,-18487058344.24024,18487058949.594143
67d80b3db0cac8b1bd982fb2,70.69642644557823,542.7701821145125,69.62118055555554,502.87544934640516
