filename,PARTICIPANT_ID,span_index,pause_within_mean_ms,pause_within_max_ms,pause_within_min_ms,pause_within_var_ms,pause_between_ms,label
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,16,67.0,81.0,56.0,108.66666666666667,239.0,1
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,17,84.0,135.0,56.0,738.0,1609.0,1
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,18,,,,,772.0,1
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,19,,,,,224.0,1
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,20,76.0,76.0,76.0,0.0,143.0,1
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,21,99.0,103.0,97.0,8.0,258.0,1
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,22,80.5,91.0,66.0,88.25,469.0,1
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,23,65.0,65.0,65.0,0.0,4395.0,1
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,24,82.33333333333333,111.0,49.0,430.5555555555556,353.0,1
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,25,,,,,389.0,1
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,26,82.28571428571429,119.0,57.0,381.34693877551024,566.0,1
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,1,,,,,34727.0,0
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,2,62.0,63.0,61.0,1.0,384.0,0
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,3,71.5,88.0,55.0,272.25,969.0,0
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,4,,,,,721.0,0
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,5,85.25,150.0,45.0,1540.6875,377.0,0
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,6,,,,,450.0,0
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,7,52.25,57.0,46.0,20.1875,504.0,0
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,8,54.5,63.0,46.0,72.25,6729.0,0
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,9,56.5,66.0,47.0,90.25,1305.0,0
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,10,78.5,79.0,78.0,0.25,678.0,0
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,11,57.8,66.0,44.0,60.15999999999999,1136.0000000000002,0
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,12,47.5,54.0,41.0,42.25,5626.0,0
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,13,53.333333333333336,64.0,46.0,59.55555555555555,504.0,0
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,14,93.0,93.0,93.0,0.0,300.0,0
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,15,60.0,82.0,39.0,121.2,286.0,0
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,21,98.0,142.0,62.0,1098.6666666666667,1660.0000000000002,1
experiment_5accb373436f5500010037ee_20250826221152.csv,5accb373436f5500010037ee,7,106.0,106.0,106.0,0.0,399.0,0
experiment_5accb373436f5500010037ee_20250826221152.csv,5accb373436f5500010037ee,8,59.22222222222222,79.0,43.0,87.28395061728395,271.0,0
experiment_5accb373436f5500010037ee_20250826221152.csv,5accb373436f5500010037ee,9,46.5,53.0,40.0,42.25,441.0,0
experiment_5accb373436f5500010037ee_20250826221152.csv,5accb373436f5500010037ee,10,66.78947368421052,98.0,40.0,226.16620498614955,804.0,0
experiment_5accb373436f5500010037ee_20250826221152.csv,5accb373436f5500010037ee,11,46.0,46.0,46.0,0.0,411.0,0
experiment_5accb373436f5500010037ee_20250826221152.csv,5accb373436f5500010037ee,12,67.125,90.0,55.0,95.859375,375.0,0
experiment_5accb373436f5500010037ee_20250826221152.csv,5accb373436f5500010037ee,15,50.5,55.0,46.0,20.25,352.0,1
experiment_5accb373436f5500010037ee_20250826221152.csv,5accb373436f5500010037ee,16,2791.6,27142.0,45.0,65883206.84000001,4406.0,1
experiment_5accb373436f5500010037ee_20250826221152.csv,5accb373436f5500010037ee,17,79.125,103.0,50.0,280.859375,2957.0,1
experiment_5accb373436f5500010037ee_20250826221422.csv,5accb373436f5500010037ee,6,86.0,97.0,79.0,62.0,403.0,0
experiment_5accb373436f5500010037ee_20250826221422.csv,5accb373436f5500010037ee,7,,,,,796.0,0
experiment_5accb373436f5500010037ee_20250826221422.csv,5accb373436f5500010037ee,8,92.0,92.0,92.0,0.0,60200.0,0
experiment_5accb373436f5500010037ee_20250826221422.csv,5accb373436f5500010037ee,9,73.5,102.0,56.0,267.9166666666667,279.0,0
experiment_5accb373436f5500010037ee_20250826221422.csv,5accb373436f5500010037ee,10,,,,,523.0,0
experiment_5accb373436f5500010037ee_20250826221422.csv,5accb373436f5500010037ee,11,67.0,97.0,47.0,211.75,735.0,0
experiment_5accb373436f5500010037ee_20250826221422.csv,5accb373436f5500010037ee,12,58.2,66.0,53.0,24.560000000000002,4895.0,0
experiment_5accb373436f5500010037ee_20250826221422.csv,5accb373436f5500010037ee,13,75.0,75.0,75.0,0.0,343.0,0
experiment_5accb373436f5500010037ee_20250826221422.csv,5accb373436f5500010037ee,14,53.333333333333336,66.0,38.0,134.2222222222222,266.0,0
experiment_5accb373436f5500010037ee_20250826221422.csv,5accb373436f5500010037ee,15,69.25,95.0,55.0,261.1875,235.0,0
experiment_5accb373436f5500010037ee_20250826221422.csv,5accb373436f5500010037ee,16,70.0,78.0,62.0,64.0,4351.0,0
experiment_5accb373436f5500010037ee_20250826221422.csv,5accb373436f5500010037ee,20,57.166666666666664,73.0,37.0,138.80555555555557,685.0,1
experiment_5accb373436f5500010037ee_20250826221422.csv,5accb373436f5500010037ee,21,,,,,523.0,1
experiment_5accb373436f5500010037ee_20250826221422.csv,5accb373436f5500010037ee,22,59.42857142857143,86.0,46.0,171.9591836734694,265.0,1
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,0,,,,,,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,1,54.0,54.0,54.0,0.0,231.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,2,104.0,104.0,104.0,0.0,384.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,3,,,,,264.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,4,48.0,63.0,30.0,186.0,432.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,5,61.4,69.0,50.0,38.64,672.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,6,,,,,6617.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,7,,,,,509.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,8,55.0,66.0,39.0,100.5,403.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,9,73.25,89.0,62.0,128.1875,325.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,15,73.0,73.0,73.0,0.0,4801.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,16,55.0,55.0,55.0,0.0,282.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,17,,,,,323.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,18,75.0,75.0,75.0,0.0,303.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,19,61.0,75.0,53.0,98.66666666666667,267.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,20,83.0,83.0,83.0,0.0,411.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,21,63.666666666666664,85.0,52.0,228.2222222222222,486.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,22,,,,,365.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,23,86.0,86.0,86.0,0.0,336.0,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,24,71.0,142.0,47.0,810.75,198.0,0
