filename,PARTICIPANT_ID,words,duration_seconds,WPM_file
experiment_5cab22cd68194f001511b2d6_20250826123421.csv,5cab22cd68194f001511b2d6,16,79.997,12.00045
experiment_5cab22cd68194f001511b2d6_20250826123618.csv,5cab22cd68194f001511b2d6,22,85.088,15.513351
experiment_5cab22cd68194f001511b2d6_20250826123817.csv,5cab22cd68194f001511b2d6,51,83.851,36.493304
experiment_5cab22cd68194f001511b2d6_20250826124016.csv,5cab22cd68194f001511b2d6,54,69.031,46.935435
experiment_5cab22cd68194f001511b2d6_20250826124150.csv,5cab22cd68194f001511b2d6,39,46.519,50.302027
experiment_5cab22cd68194f001511b2d6_20250826124351.csv,5cab22cd68194f001511b2d6,43,77.118,33.455224
experiment_5cab22cd68194f001511b2d6_20250826124438.csv,5cab22cd68194f001511b2d6,12,15.885,45.325779
experiment_5ced66139b5b490001b688ed_20250819173629.csv,5ced66139b5b490001b688ed,16,100.996,9.505327
experiment_5ced66139b5b490001b688ed_20250819173808.csv,5ced66139b5b490001b688ed,41,55.567,44.27088
experiment_5ced66139b5b490001b688ed_20250819173856.csv,5ced66139b5b490001b688ed,20,17.978,66.748248
experiment_5ced66139b5b490001b688ed_20250819173958.csv,5ced66139b5b490001b688ed,25,33.812,44.362948
experiment_5ced66139b5b490001b688ed_20250819174044.csv,5ced66139b5b490001b688ed,17,19.179,53.183169
experiment_5ced66139b5b490001b688ed_20250819174211.csv,5ced66139b5b490001b688ed,29,34.335,50.677152
experiment_5ced66139b5b490001b688ed_20250819174300.csv,5ced66139b5b490001b688ed,18,28.779,37.527364
experiment_5ced66139b5b490001b688ed_20250819174412.csv,5ced66139b5b490001b688ed,30,44.375,40.56338
experiment_5d3b0da8a884020001881773_20250827085711.csv,5d3b0da8a884020001881773,61,203.202,18.011634
experiment_5d3b0da8a884020001881773_20250827085854.csv,5d3b0da8a884020001881773,30,35.724,50.386295
experiment_5d3b0da8a884020001881773_20250827085949.csv,5d3b0da8a884020001881773,24,28.925,49.783924
experiment_5d3b0da8a884020001881773_20250827090043.csv,5d3b0da8a884020001881773,20,24.942,48.111619
experiment_5d3b0da8a884020001881773_20250827090418.csv,5d3b0da8a884020001881773,38,53.346,42.739849
experiment_5d3b0da8a884020001881773_20250827090613.csv,5d3b0da8a884020001881773,24,33.291,43.254934
experiment_5d3b0da8a884020001881773_20250827090909.csv,5d3b0da8a884020001881773,26,34.491,45.22919
experiment_5d3b0da8a884020001881773_20250827091048.csv,5d3b0da8a884020001881773,30,36.221,49.694928
experiment_5d40a12f4994c40001e4b80c_20250826171318.csv,5d40a12f4994c40001e4b80c,23,86.743,15.909065
experiment_5d40a12f4994c40001e4b80c_20250826171605.csv,5d40a12f4994c40001e4b80c,9,26.876,20.092276
experiment_5d40a12f4994c40001e4b80c_20250826171829.csv,5d40a12f4994c40001e4b80c,9,16.385,32.956973
experiment_5d40a12f4994c40001e4b80c_20250826172035.csv,5d40a12f4994c40001e4b80c,10,17.775,33.755274
experiment_5d40a12f4994c40001e4b80c_20250826172259.csv,5d40a12f4994c40001e4b80c,13,24.61,31.694433
experiment_5d40a12f4994c40001e4b80c_20250826172528.csv,5d40a12f4994c40001e4b80c,23,63.53,21.722021
experiment_5d40a12f4994c40001e4b80c_20250826172723.csv,5d40a12f4994c40001e4b80c,16,31.99,30.009378
experiment_5d40a12f4994c40001e4b80c_20250826172853.csv,5d40a12f4994c40001e4b80c,11,23.08,28.596187
experiment_5dafea4de40355001651fa2f_20250827072907.csv,5dafea4de40355001651fa2f,4,40.011,5.99835
experiment_5dafea4de40355001651fa2f_20250827073139.csv,5dafea4de40355001651fa2f,16,42.066,22.821281
experiment_5dafea4de40355001651fa2f_20250827073404.csv,5dafea4de40355001651fa2f,15,46.536,19.339866
experiment_5dafea4de40355001651fa2f_20250827073623.csv,5dafea4de40355001651fa2f,14,33.187,25.311116
experiment_5dafea4de40355001651fa2f_20250827073851.csv,5dafea4de40355001651fa2f,21,56.646,22.243406
experiment_5dafea4de40355001651fa2f_20250827074133.csv,5dafea4de40355001651fa2f,24,61.8,23.300971
experiment_5dafea4de40355001651fa2f_20250827074355.csv,5dafea4de40355001651fa2f,26,55.819,27.947473
experiment_5dafea4de40355001651fa2f_20250827074621.csv,5dafea4de40355001651fa2f,25,69.97,21.437759
experiment_5ea4cebb8944a8495280db42_20250827131019.csv,5ea4cebb8944a8495280db42,38,46.952,48.560232
experiment_5ea4cebb8944a8495280db42_20250827131239.csv,5ea4cebb8944a8495280db42,27,40.714,39.789753
experiment_5ea4cebb8944a8495280db42_20250827131357.csv,5ea4cebb8944a8495280db42,28,36.147,46.476886
experiment_5ea4cebb8944a8495280db42_20250827131506.csv,5ea4cebb8944a8495280db42,11,29.339,22.495654
experiment_5ea4cebb8944a8495280db42_20250827131629.csv,5ea4cebb8944a8495280db42,64,57.547,66.728066
experiment_5ea4cebb8944a8495280db42_20250827131754.csv,5ea4cebb8944a8495280db42,43,59.887,43.081136
experiment_5ea4cebb8944a8495280db42_20250827131916.csv,5ea4cebb8944a8495280db42,38,48.001,47.49901
experiment_5ea4cebb8944a8495280db42_20250827132017.csv,5ea4cebb8944a8495280db42,54,44.556,72.717479
experiment_5f29eff59714081a3594a331_20250827002427.csv,5f29eff59714081a3594a331,30,63.096,28.527957
experiment_5f29eff59714081a3594a331_20250827002600.csv,5f29eff59714081a3594a331,18,67.071,16.102339
experiment_5f29eff59714081a3594a331_20250827002741.csv,5f29eff59714081a3594a331,15,48.652,18.498726
experiment_5f29eff59714081a3594a331_20250827003030.csv,5f29eff59714081a3594a331,26,79.85,19.536631
experiment_5f29eff59714081a3594a331_20250827003250.csv,5f29eff59714081a3594a331,18,44.945,24.029369
experiment_5f29eff59714081a3594a331_20250827003720.csv,5f29eff59714081a3594a331,24,205.313,7.013682
